disclosure_id,scraped_at,politician,chamber,ticker,issuer,transaction_type,transaction_date,disclosure_date,amount_range,amount_lower,amount_upper,amount_mid,source
3983cd4c7fbf6d5999b5,2026-04-17T00:12:28Z,August Pfluger,house,UHAL,Amerco UHAL:US,purchase,2026-03-13,2026-04-16,15K–50K,15001,50000,32500.5,capitol_trades
848b97b7fb9e3e63bb2e,2026-04-17T00:12:28Z,August Pfluger,house,BRK,Berkshire Hathaway Inc BRK/B:US,purchase,2026-03-13,2026-04-16,15K–50K,15001,50000,32500.5,capitol_trades
d498a35ce452ff1d0fc4,2026-04-17T00:12:28Z,August Pfluger,house,LP,Dorchester Minerals LP DMLP:US,purchase,2026-03-13,2026-04-16,15K–50K,15001,50000,32500.5,capitol_trades
43464cb765eca44ad7a4,2026-04-17T00:12:28Z,August Pfluger,house,VIPER,VIPER ENERGY INC N/A,purchase,2026-03-13,2026-04-16,15K–50K,15001,50000,32500.5,capitol_trades
75e54e47470b4e024713,2026-04-17T00:12:28Z,Rick Larsen,house,AXP,American Express Co AXP:US,sale,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
9efb18844af2099f7d1b,2026-04-17T00:12:28Z,Rick Larsen,house,AWK,American Water Works Company Inc AWK:US,sale,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
d54d314a3b33fa4187ea,2026-04-17T00:12:28Z,Rick Larsen,house,BR,Broadridge Financial Solutions Inc BR:US,sale,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
f55b5cc52dc42b2b1d9d,2026-04-17T00:12:28Z,Rick Larsen,house,CARR,Carrier Global Corp CARR:US,purchase,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
d0845a499841d158af7b,2026-04-17T00:12:28Z,Rick Larsen,house,CASY,Casey's General Stores Inc. CASY:US,purchase,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
f9e52f0383b9add3451a,2026-04-17T00:12:28Z,Rick Larsen,house,CNL,CNL HEALTHCARE PPTYS INC N/A,exchange,2026-03-31,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
cc54d3a794e8c9040d18,2026-04-17T00:12:28Z,Rick Larsen,house,NEE,NextEra Energy Inc NEE:US,purchase,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
39b323839af433e99fe6,2026-04-17T00:12:28Z,Rick Larsen,house,PAYX,Paychex Inc PAYX:US,sale,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
172b1ab93d708b04b0b9,2026-04-17T00:12:28Z,Rick Larsen,house,INC,SONIDA SENIOR LIVING INC N/A,sale,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
3e82bf8c491578b9d270,2026-04-17T00:12:28Z,Rick Larsen,house,INC,SONIDA SENIOR LIVING INC N/A,exchange,2026-03-31,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
146d340f6d1313849a40,2026-04-17T00:12:28Z,Rick Larsen,house,WAB,Westinghouse Air Brake Technologies Corp WAB:US,purchase,2026-04-07,2026-04-16,1K–15K,1001,15000,8000.5,capitol_trades
92bc6f7dfb5fe1efa014,2026-04-17T00:12:28Z,Greg Steube,house,IONQ,IONQ INC IONQ:US,purchase,2026-03-18,2026-04-15,1K–15K,1001,15000,8000.5,capitol_trades
a9b826796644f4e9e58d,2026-04-17T00:12:28Z,Greg Steube,house,MAR,Marriott International Inc MAR:US,purchase,2026-04-08,2026-04-15,15K–50K,15001,50000,32500.5,capitol_trades
f571df115f9480b80a53,2026-04-17T00:12:28Z,John Boozman,senate,TPYP,Managed Portfolio Series Tortoise North American Pipeline Fund TPYP:US,sale,2026-03-20,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
9ea783beaa2014e08465,2026-04-17T00:12:28Z,John Boozman,senate,JNJ,Johnson & Johnson JNJ:US,sale,2026-03-19,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
bf10ca500983f3e8831d,2026-04-17T00:12:28Z,John Boozman,senate,EUROP,JPMORGAN BETABULDR EUROP ETF BBEU:US,sale,2026-03-19,2026-04-14,15K–50K,15001,50000,32500.5,capitol_trades
586116bbaa3b62503816,2026-04-17T00:12:28Z,John Boozman,senate,FTSE,Vanguard FTSE Developed Markets ETF VEA:US,purchase,2026-03-19,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
e8c9c647fcde66004c57,2026-04-17T00:12:28Z,John Boozman,senate,TRADR,TRADR 2X LONG SPY MNTHLY ETF SPYM:US,purchase,2026-03-20,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
590f8f6b2928c75951a4,2026-04-17T00:12:28Z,John Boozman,senate,NVDA,NVIDIA Corporation NVDA:US,purchase,2026-03-19,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
6b92170a801d54ac4e8a,2026-04-17T00:12:28Z,John Boozman,senate,MSFT,Microsoft Corp MSFT:US,purchase,2026-03-05,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
87b9d0a70362ba7309a8,2026-04-17T00:12:28Z,John Boozman,senate,FIRST,FIRST TR GLOBAL TACTICAL CMD FTGC:US,purchase,2026-03-19,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
32f75d88af0e586f8d31,2026-04-17T00:12:28Z,John Boozman,senate,ARES,Ares Management Corp ARES:US,purchase,2026-03-13,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
986246be35eab67973af,2026-04-17T00:12:28Z,Thomas Kean Jr,house,PLC,Amcor PLC AMCR:US,purchase,2026-03-31,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
3be60675b4e66e3c0498,2026-04-17T00:12:28Z,Thomas Kean Jr,house,CB,Chubb Ltd CB:US,sale,2026-03-26,2026-04-14,15K–50K,15001,50000,32500.5,capitol_trades
e16f63cf9ac00c3dcc9b,2026-04-17T00:12:28Z,Thomas Kean Jr,house,FCNCA,First Citizens BancShares Inc FCNCA:US,sale,2026-03-26,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
e717708b2ad8876004fb,2026-04-17T00:12:28Z,Thomas Kean Jr,house,JNJ,Johnson & Johnson JNJ:US,sale,2026-03-26,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
6ef58cd3e59e01ebe411,2026-04-17T00:12:28Z,Thomas Kean Jr,house,PLC,Linde PLC LIN:US,purchase,2026-03-26,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
92fb2af9d18a3392369d,2026-04-17T00:12:28Z,Thomas Kean Jr,house,PEP,PepsiCo Inc PEP:US,sale,2026-03-26,2026-04-14,15K–50K,15001,50000,32500.5,capitol_trades
e95f0a70e02a54ba5d0d,2026-04-17T00:12:28Z,Thomas Kean Jr,house,S,S&P Global Inc SPGI:US,sale,2026-03-26,2026-04-14,15K–50K,15001,50000,32500.5,capitol_trades
8b051f0d824d07e6cdd2,2026-04-17T00:12:28Z,Thomas Kean Jr,house,WAT,Waters Corp WAT:US,sale,2026-03-10,2026-04-14,1K–15K,1001,15000,8000.5,capitol_trades
44769ad497abba17ead2,2026-04-17T00:12:28Z,Shelley Moore Capito,senate,MA,Mastercard Inc MA:US,purchase,2026-03-28,2026-04-12,1K–15K,1001,15000,8000.5,capitol_trades
5b64d32bc868f4f6473e,2026-04-17T00:12:28Z,Michael McCaul,house,CEDAR,CEDAR HOLDINGS LP N/A,purchase,2026-03-24,2026-04-10,500K–1M,500001,1000000,750000.5,capitol_trades
2ddc404c859cd0acfde0,2026-04-17T00:12:28Z,Michael McCaul,house,CITY,CITY OF JACKSONVILLE FLORIDA N/A,purchase,2026-03-16,2026-04-10,100K–250K,100001,250000,175000.5,capitol_trades
4f7f921a8997f6882bfa,2026-04-17T00:12:28Z,Michael McCaul,house,OF,DEVELOPMENT AUTHORITY OF BULLOCH COUNTY N/A,purchase,2026-03-18,2026-04-10,100K–250K,100001,250000,175000.5,capitol_trades
2327adc4b78ea33ba0d0,2026-04-17T00:12:28Z,Michael McCaul,house,MAYS,MAYS ALLOCATE LP N/A,purchase,2026-03-16,2026-04-10,100K–250K,100001,250000,175000.5,capitol_trades
